,column_name,description,num_unique_values,data_type,sample_values
0,RID,Participant roster ID ,1737,int64,"[2, 3, 3, 3, 3, 4, 4, 4, 4, 4]"
1,PTID,Participant ID ,1737,object,"['011_S_0002', '011_S_0003', '011_S_0003', '011_S_0003', '011_S_0003', '022_S_0004', '022_S_0004', '022_S_0004', '022_S_0004', '022_S_0004']"
2,VISCODE,Visit code ,22,object,"['bl', 'bl', 'm06', 'm12', 'm24', 'bl', 'm06', 'm12', 'm18', 'm36']"
3,SITE,Site ,62,int64,"[11, 11, 11, 11, 11, 22, 22, 22, 22, 22]"
4,COLPROT,Protocol under which data was collected ,3,object,"['ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1']"
5,ORIGPROT,Protocol from which subject originated ,3,object,"['ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1', 'ADNI1']"
6,EXAMDATE,Examination Date ,2685,object,"['2005-09-08', '2005-09-12', '2006-03-13', '2006-09-12', '2007-09-12', '2005-11-08', '2006-05-02', '2006-11-14', '2007-05-14', '2008-11-18']"
7,DX_bl,Baseline Diagnosis,5,object,"['CN', 'AD', 'AD', 'AD', 'AD', 'LMCI', 'LMCI', 'LMCI', 'LMCI', 'LMCI']"
8,AGE,Age,324,float64,"[74.299999999999997, 81.299999999999997, 81.299999999999997, 81.299999999999997, 81.299999999999997, 67.5, 67.5, 67.5, 67.5, 67.5]"
9,PTGENDER,Sex,2,object,"['Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male', 'Male']"
10,PTEDUCAT,Education,16,int64,"[16, 18, 18, 18, 18, 10, 10, 10, 10, 10]"
11,PTETHCAT,Ethnicity,3,object,"['Not Hisp/Latino', 'Not Hisp/Latino', 'Not Hisp/Latino', 'Not Hisp/Latino', 'Not Hisp/Latino', 'Hisp/Latino', 'Hisp/Latino', 'Hisp/Latino', 'Hisp/Latino', 'Hisp/Latino']"
12,PTRACCAT,Race,7,object,"['White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White']"
13,PTMARRY,Marital status at baseline,5,object,"['Married', 'Married', 'Married', 'Married', 'Married', 'Married', 'Married', 'Married', 'Married', 'Married']"
14,APOE4,The epsilon 4 allele of APOE is the strongest known genetic risk factor for AD with a two- to three-fold increased risk for AD in people with one epsilon 4 allele rising to about 12-fold in those with two alleles. ,4,float64,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,FDG,Specific tracer (FDG) for PET scan,3242,float64,"[1.3692600000000001, 1.0907899999999999, 1.0636000000000001, 1.1038399999999999, 1.03871, nan, nan, nan, nan, nan]"
16,PIB,Specific tracer (PIB) for PET scan measuring SUVR (standardized uptake value ratio in the region relative to cerebellar gray matter),187,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
17,AV45,Specific tracer (AV45) for PET scan measuring SUVR (standardized uptake value ratio in the region relative to cerebellar gray matter),2091,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
18,CDRSB,Clinical Dementia Rating Sum of Boxes,31,float64,"[0.0, 4.5, 6.0, 3.5, 8.0, 1.0, 0.5, 1.0, 1.0, 1.0]"
19,ADAS11,Alzheimer's Disease Assessment Scale - original version,164,float64,"[10.67, 22.0, 19.0, 24.0, 25.670000000000002, 14.33, 17.329999999999998, 15.0, 20.329999999999998, 18.0]"
20,ADAS13,Alzheimer's Disease Assessment Scale - addition of number cancellation task and a delayed free recall task,205,float64,"[18.670000000000002, 31.0, 30.0, 35.0, 37.670000000000002, 21.329999999999998, 25.329999999999998, 22.0, 28.329999999999998, 25.0]"
21,MMSE,Mini-Mental State Exam,32,float64,"[28.0, 20.0, 24.0, 17.0, 19.0, 27.0, 28.0, 26.0, 27.0, 25.0]"
22,RAVLT_immediate,Rey Auditory Verbal Learning Test- 5 sum,77,float64,"[44.0, 22.0, 19.0, 31.0, 23.0, 37.0, 33.0, 37.0, 44.0, 44.0]"
23,RAVLT_learning,Rey Auditory Verbal Learning Test- learning,21,float64,"[4.0, 1.0, 2.0, 2.0, 1.0, 7.0, 7.0, 4.0, 8.0, 7.0]"
24,RAVLT_forgetting,Rey Auditory Verbal Learning Test- forgetting,28,float64,"[6.0, 4.0, 6.0, 7.0, 5.0, 4.0, 1.0, 1.0, 2.0, 2.0]"
25,RAVLT_perc_forgetting,Rey Auditory Verbal Learning Test- percent forgetting,101,float64,"[54.545499999999997, 100.0, 100.0, 100.0, 100.0, 36.363599999999998, 11.1111, 12.5, 16.666699999999999, 18.181799999999999]"
26,FAQ,Functional Assessment Questionnaire ,32,float64,"[0.0, 10.0, 12.0, 17.0, 14.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
27,MOCA,Montreal Congitive Assessment,32,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
28,EcogPtMem,Everyday Cognition Participant Self-Report- Memory,60,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
29,EcogPtLang,Everyday Cognition Participant Self-Report- Language,69,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
30,EcogPtVisspat,Everyday Cognition Participant Self-Report- Visuospatial ability,52,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
31,EcogPtPlan,Everyday Cognition Participant Self-Report- Planning,30,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
32,EcogPtOrgan,Everyday Cognition Participant Self-Report- Organization,38,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
33,EcogPtDivatt,Everyday Cognition Participant Self-Report- Divided Attention,20,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
34,EcogPtTotal,Everyday Cognition Participant Self-Report- Total ,499,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
35,EcogSPMem,Everyday Cognition Partner Self-Report- Memory,59,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
36,EcogSPLang,Everyday Cognition Partner Self-Report- Language,76,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
37,EcogSPVisspat,Everyday Cognition Partner Self-Report- Visuospatial ability,55,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
38,EcogSPPlan,Everyday Cognition Partner Self-Report- Planning,32,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
39,EcogSPOrgan,Everyday Cognition Partner Self-Report- Organization,38,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
40,EcogSPDivatt,Everyday Cognition Partner Self-Report- Divided Attention,20,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
41,EcogSPTotal,Everyday Cognition Partner Self-Report- Total ,722,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
42,FLDSTRENG,Type of MRI Scan (1.5T versus 3 T),3,object,"['1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI', '1.5 Tesla MRI']"
43,FSVERSION,FreeSurfer software version,3,object,"['Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)', 'Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)']"
44,Ventricles,UCSF (Center for Imaging of Neurodeg. Disease) Ventricles,7072,float64,"[118233.0, 84599.0, 88580.0, 90099.0, 97420.0, 39605.0, 39726.0, 38527.0, 40768.0, 45254.0]"
45,Hippocampus,UCSF (Center for Imaging of Neurodeg. Disease) Hippocampus,3616,float64,"[8336.0, 5319.0, 5446.0, 5157.0, 5139.0, 6869.0, 6439.0, 6451.0, 6373.0, 6213.0]"
46,WholeBrain,UCSF (Center for Imaging of Neurodeg. Disease) WholeBrain ,7287,float64,"[1229740.0, 1129830.0, 1100060.0, 1095640.0, 1088560.0, 1154980.0, 1116280.0, 1117390.0, 1095210.0, 1085350.0]"
